STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
KS,GID,Mitchell,20123,C,nc,-98.2095,39.3933
KS,EAX,Miami,20121,C,ec,-94.8381,38.5636
KS,DDC,Meade,20119,C,sw,-100.3662,37.2383
KS,TOP,Marshall,20117,C,ne,-96.5229,39.7836
KS,ICT,Marion,20115,C,cc,-97.0969,38.3588
KS,ICT,McPherson,20113,C,cc,-97.648,38.3916
KS,TOP,Lyon,20111,C,ec,-96.1527,38.4563
KS,GLD,Logan,20109,C,wc,-101.1485,38.9173
KS,EAX,Linn,20107,C,ec,-94.8429,38.2122
KS,ICT,Lincoln,20105,C,cc,-98.2078,39.0453
KS,EAX,Leavenworth,20103,C,ne,-95.0379,39.1993
KS,DDC,Lane,20101,C,wc,-100.4664,38.4814
KS,ICT,Labette,20099,C,se,-95.2976,37.1913
KS,DDC,Kiowa,20097,C,sc,-99.286,37.5582
KS,ICT,Kingman,20095,C,sc,-98.1364,37.5589
KS,DDC,Kearny,20093,C,sw,-101.3199,38.0002
KS,EAX,Johnson,20091,C,ec,-94.8223,38.8838
KS,GID,Jewell,20089,C,nc,-98.2184,39.7847
KS,TOP,Jefferson,20087,C,ne,-95.3834,39.2358
KS,TOP,Jackson,20085,C,ne,-95.7937,39.417
KS,DDC,Hodgeman,20083,C,sw,-99.8979,38.0875
KS,DDC,Haskell,20081,C,sw,-100.8712,37.5623
KS,ICT,Harvey,20079,C,sc,-97.4273,38.0432
KS,ICT,Harper,20077,C,sc,-98.0755,37.1916
KS,DDC,Hamilton,20075,M,sw,-101.7913,37.9991
KS,ICT,Greenwood,20073,C,se,-96.2327,37.8778
KS,GLD,Greeley,20071,M,wc,-101.806,38.4805
KS,DDC,Gray,20069,C,sw,-100.4378,37.7382
KS,EAX,Wyandotte,20209,C,ne,-94.7646,39.1145
KS,ICT,Allen,20001,C,se,-95.3014,37.8858
KS,TOP,Anderson,20003,C,ec,-95.2933,38.2143
KS,EAX,Atchison,20005,C,ne,-95.3129,39.5319
KS,DDC,Barber,20007,C,sc,-98.6848,37.2289
KS,ICT,Barton,20009,C,cc,-98.7565,38.479
KS,SGF,Bourbon,20011,C,se,-94.8493,37.8552
KS,TOP,Brown,20013,C,ne,-95.5642,39.8266
KS,ICT,Butler,20015,C,sc,-96.8391,37.7813
KS,ICT,Chase,20017,C,ec,-96.594,38.3021
